Book,Code
Genesis,gen
Exodous,exo
Leviticus,lev
Numbers,num
Deutoronomy,deu
Judges,jud
Ruth,rut
1 Samuel,1sa
2 Samual,2sa
1 Kings,1ki
2 Kings,2ki
1 Chronicles,1ch
2 Chronicles,2ch
Ezra,ezr
Nehemiah,neh
Esther,est
Job,job
Psalm,psa
Proverbs,pro
Ecclesiastes,ecc
Song of Solomon,sng
Isaiah,isa
Jeremiah,jer
Lamentations,lam
Ezekiel,eze
Daniel,dan
Hosea,hos
Joel,joe
Amos,amo
Obadiah,oba
Jonah,jon
Micah,mic
Nahum,nah
Habakkuk,hab
Zephaniah,zep
Haggai,hag
Zechariah,zec
Malachi,mal
Matthew,mat
Mark,mar
Luke,luk
John,jhn
Acts,act
Romans,rom
1 Corinthians,1co
2 Corinthians,2co
Galatians,gal
Ephesians,eph
Philippians,phi
Colossians,col
1 Thessalonians,1th
2 Thessalonians,2th
1 Timothy,1ti
2 Timothy,2ti
Titus,tit
Philemon,phi
Hebrews,heb
James,jam
1 Peter,1pe
2 Peter,2pe
1 John,1jn
2 John,2jn
3 John,3jn
Jude,jud
Revelation,rev
